"","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","elev"
"bio1",1,0.96894606743886,0.974234250782458,-0.21988572618449,-0.0740202914641243,-0.464898213524278,0.39268795087592,-0.0772601598645227,-0.433378904113276,-0.715774179821103,0.254192820072356,0.500729382056997,0.770742287588393,-0.634333740194219,0.948863278805679,0.963244250555247,-0.377200005151005,0.392224715967412,0.901417844146549,-0.031989957343087
"bio10",0.96894606743886,1,0.893235071244472,-0.339192412372473,-0.162354660036798,-0.541307814407822,0.420944535163308,-0.172041549066005,-0.520398970833572,-0.716790510962466,0.121990022098252,0.569215210524812,0.65270232198579,-0.429288551898773,0.986074027744424,0.875463735813694,-0.155829682926165,0.517397739334513,0.817401446841485,-0.0872329806722582
"bio11",0.974234250782458,0.893235071244472,1,-0.114343247396643,0.0159301305065209,-0.41280196871493,0.395905893919233,0.0165004798049647,-0.371102533873159,-0.704879221351328,0.362564504487891,0.416057382721672,0.838031167158356,-0.789234429434818,0.871520697092339,0.996476462700617,-0.556650198348883,0.242231138069741,0.941519870777935,0.0407350927346993
"bio12",-0.21988572618449,-0.339192412372473,-0.114343247396643,1,0.870053523655556,0.675419097802408,-0.162801283419482,0.890852708068993,0.728231033110612,0.558495275407286,0.770274749721482,-0.416440727696369,-0.0820639092703231,-0.23266523155948,-0.361775991521104,-0.0857711131916319,-0.38557853238088,-0.43024786813843,-0.075971150141975,0.252760081242733
"bio13",-0.0740202914641243,-0.162354660036798,0.0159301305065209,0.870053523655556,1,0.27383275000396,0.29407042640155,0.993654929951671,0.327566146690268,0.276667738635407,0.875411952287133,-0.263688361285596,0.045886614736882,-0.250979982124249,-0.17678801066124,0.0361477808741946,-0.335249475584117,-0.309346908321251,0.0447212323267955,0.202388694241169
"bio14",-0.464898213524278,-0.541307814407822,-0.41280196871493,0.675419097802408,0.27383275000396,1,-0.762663630696429,0.308019816363922,0.987503191299644,0.840149552180934,0.154580718765638,-0.474192994395881,-0.375566963253456,0.088999845469698,-0.567808249924075,-0.389414703562175,-0.125904311623238,-0.308061894808862,-0.408656234925396,0.143780585504593
"bio15",0.39268795087592,0.420944535163308,0.395905893919233,-0.162801283419482,0.29407042640155,-0.762663630696429,1,0.265155110559101,-0.746949837174154,-0.594023968165104,0.308471873521675,0.337306767033304,0.385998194372774,-0.214819890172597,0.442984341327929,0.378416725948509,-0.0420916083334327,0.107970918713374,0.411568467435699,0.0635910453555449
"bio16",-0.0772601598645227,-0.172041549066005,0.0165004798049647,0.890852708068993,0.993654929951671,0.308019816363922,0.265155110559101,1,0.359558105709054,0.30092054971754,0.879435013620286,-0.279738649799399,0.0421189469584075,-0.26499585466998,-0.187249157004424,0.037854525306151,-0.354276056785389,-0.326737683466879,0.0448093658382855,0.210309194729301
"bio17",-0.433378904113276,-0.520398970833572,-0.371102533873159,0.728231033110612,0.327566146690268,0.987503191299644,-0.746949837174154,0.359558105709054,1,0.812849103142465,0.222873447316959,-0.471706377287089,-0.331904770122656,0.0330531964926808,-0.546997516369416,-0.346141873076974,-0.175841964930178,-0.353081008538026,-0.349929979241801,0.165742775480809
"bio18",-0.715774179821103,-0.716790510962466,-0.704879221351328,0.558495275407286,0.276667738635407,0.840149552180934,-0.594023968165104,0.30092054971754,0.812849103142465,1,-0.0667024220350498,-0.487935555966507,-0.636815993488855,0.438768169809032,-0.731405029980278,-0.688926878542063,0.190084560474671,-0.127576181987745,-0.744042245228469,0.096284307975046
