"","bio1","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","elev"
"bio1",1,0.967286674086051,0.975773012035975,-0.216377653343907,-0.126880619166013,-0.502088825095872,0.362635417271807,-0.122891216715418,-0.461525300431647,-0.781840388329985,0.290324467765505,0.477341923191292,0.775070007940595,-0.611007075157261,0.948953777052187,0.968001580665764,-0.345196693814957,0.246814954292986,0.915380568710682,0.0743345344033831
"bio10",0.967286674086051,1,0.893575805941393,-0.313615318544426,-0.197984742091818,-0.548478069285907,0.381471044916921,-0.197756352793496,-0.521581357823151,-0.741615779574976,0.149000405926355,0.537367723846982,0.646534271242333,-0.413036073029203,0.985080821417478,0.881544973422232,-0.141112356675621,0.39236750927876,0.831271189517846,0.0579943760376327
"bio11",0.975773012035975,0.893575805941393,1,-0.134192450295898,-0.0527362555736841,-0.463258195219199,0.366342459879706,-0.0456149633618431,-0.414148131805677,-0.785901197331508,0.396492927945442,0.399616804286541,0.846558662137023,-0.756897417405285,0.875709800388189,0.996961951346239,-0.504723133109583,0.113066372550936,0.947970854542532,0.109029876904023
"bio12",-0.216377653343907,-0.313615318544426,-0.134192450295898,1,0.854465622501616,0.674437965660122,-0.27781887234336,0.8722554395918,0.733681021991812,0.51401289572265,0.746611584871749,-0.33806204739238,-0.0496284191788127,-0.203095625696226,-0.333341183504519,-0.112290893949747,-0.38170813732262,-0.378076213581648,-0.0966037027417149,0.120832770465666
"bio13",-0.126880619166013,-0.197984742091818,-0.0527362555736841,0.854465622501616,1,0.320027933043921,0.179080218868849,0.989565062424922,0.378384583519783,0.376419501199556,0.724440225185026,-0.230004737784407,-0.0178404004357664,-0.19190852320651,-0.206573901510186,-0.0332456887283446,-0.282163332838598,-0.31228466425564,-0.0193476537197579,0.170307113371869
"bio14",-0.502088825095872,-0.548478069285907,-0.463258195219199,0.674437965660122,0.320027933043921,1,-0.789970552949324,0.345412613436857,0.983248215885413,0.760688726948313,0.27745168308569,-0.392674116332779,-0.320047560247925,0.127784727179619,-0.571129024532165,-0.450472526056351,-0.140123572357699,-0.245824861582555,-0.42417424996812,-0.0221835216345264
"bio15",0.362635417271807,0.381471044916921,0.366342459879706,-0.27781887234336,0.179080218868849,-0.789970552949324,1,0.156796562327076,-0.77009527184408,-0.451883979109953,-0.00436013326095148,0.291405282783506,0.276341869616837,-0.181848620306612,0.409367064061535,0.358313251072227,0.0507648980352882,0.0969480782025235,0.348240789789019,0.179840098978652
"bio16",-0.122891216715418,-0.197756352793496,-0.0456149633618431,0.8722554395918,0.989565062424922,0.345412613436857,0.156796562327076,1,0.400147407031673,0.381961138896934,0.745549832896324,-0.239495843123754,-0.00891621441384139,-0.209264782606888,-0.207567675150208,-0.0249250141239384,-0.306256297404128,-0.326066256225524,-0.0094543231877365,0.177014446345182
"bio17",-0.461525300431647,-0.521581357823151,-0.414148131805677,0.733681021991812,0.378384583519783,0.983248215885413,-0.77009527184408,0.400147407031673,1,0.723657675696368,0.35403236371919,-0.395807820898678,-0.276974952647031,0.0697782588612176,-0.545499841507522,-0.400436157357821,-0.193343965150567,-0.300102966096899,-0.366556962710384,-0.00729883767820709
"bio18",-0.781840388329985,-0.741615779574976,-0.785901197331508,0.51401289572265,0.376419501199556,0.760688726948313,-0.451883979109953,0.381961138896934,0.723657675696368,1,-0.0802154411944605,-0.412625082758305,-0.662512814189306,0.52620825792121,-0.751134141524115,-0.776539387937071,0.25179428941284,-0.0374146275852262,-0.789434181623089,-0.0307437534108293
